Article_ID,Date,Source,Title,Content_Snippet,Entity_Mentioned,Sector,Sentiment_Score,Sentiment_Label,Language
7edacd9a-9cc3-47c7-943d-29e02073772a,2023-01-22,Khaleej Times,.ﻕﻮﺳ ﺔﻛﺮﺷ ﻲﺑﺩ ﺕﺍﺭﺎﻘﻋ ﺭﻮﻄﺗ ﺔﻗﺎﻃ,.ﺭﺎﻤﺜﺘﺳﺍ ﻉﺎﻄﻗ ﺔﻴﻟﺎﻣ ﻉﻭﺮﺸﻣ ﺕﺍﺭﺎﻣﻻﺍ ﺩﺎﺼﺘﻗﺍ ﻲﺑﺩ ﺔﺣﺎﻴﺳ ﺕﺍﺭﺎﻘﻋ,Emaar,Real Estate,-0.1,Neutral,Arabic
b6608d74-2a58-4a1d-9f4d-9a7df3f642b2,2022-02-25,Gulf News,Nakheel reports mixed results in Q4 results,"According to industry experts, the real estate sector is experiencing strong performance due to global trends.",Nakheel,Real Estate,0.15,Neutral,English
f4ded3cb-2c55-4b13-9a64-ccaab5e5203e,2020-03-28,Gulf News,New directive to impact Real Estate sector,DP World has announced an innovative solution in its latest move to improve sustainability.,DP World,Real Estate,0.23,Neutral,English
73bf6821-09b4-4aee-b79e-8f5a497f2b0e,2020-04-09,Emirates 24/7,Dubai Finance sector sees fluctuate in revenue,government reports show that growth has decreased by 23% compared to last year.,BitOasis (Crypto),Finance,0.16,Neutral,English
70c6c218-41b0-4d74-a494-9ec7e985a1fd,2023-01-07,Arabian Business,Palm Jumeirah emerges as new hotspot for penthouse investments,government reports show that supply has increased by 43% compared to last year.,Dubai South,Real Estate,0.09,Neutral,English
12c95433-0a73-4f15-aff7-830179e9bee9,2020-08-17,Bloomberg MENA,Souq.com partners with international firm for digital transformation,The policy introduced by UAE Central Bank is expected to regulate the tech sector.,Souq.com,Tech,0.72,Positive,English
d22a0700-1922-4233-b3fb-3826fadfa040,2021-10-04,Emirates 24/7,New AI initiative launched by G42,The policy introduced by Dubai Government is expected to transform the tech sector.,G42,Tech,0.91,Positive,English
26d91cef-8532-4429-82a9-457b22e116cf,2023-12-09,Arabian Business,DIFC announces revision to investment,"According to industry experts, the finance sector is experiencing strong performance due to technological advancements.",DIFC,Finance,0.51,Positive,English
fc110dd5-b452-4345-96dc-b448e079d300,2020-01-05,Dubai Media Office,.ﺕﺍﺭﺎﻣﻻﺍ ﺩﺎﺼﺘﻗﺍ ﺔﻛﺮﺷ ﻉﺎﻄﻗ ﺕﺍﺭﺎﻘﻋ ﻉﻭﺮﺸﻣ ﻕﻮﺳ ﺭﺎﻤﺜﺘﺳﺍ ﻲﺑﺩ,.ﺔﻗﺎﻃ ﻮﻤﻧ ﻕﻮﺳ ﺔﻴﻟﺎﻣ ﺕﺍﺭﺎﻘﻋ ﻉﻭﺮﺸﻣ,Emaar,Real Estate,0.36,Positive,Arabic
0a2ccce2-5158-42ba-a07f-38f4034043ad,2025-09-29,Arab News,Business Bay emerges as new hotspot for villa investments,The policy introduced by DIFC is expected to regulate the real estate sector.,Nakheel,Real Estate,0.41,Positive,English
